Date,close_fox,close_tko
2022-11-03,28.02,74.03
2022-11-04,27.83,74.02
2022-11-07,27.44,74.19
2022-11-08,27.62,75.31
2022-11-09,26.66,74.88
2022-11-10,27.7,75.61
2022-11-11,28.76,75.32
2022-11-14,28.79,75.28
2022-11-15,28.99,76.91
2022-11-16,28.86,77.8
2022-11-17,28.84,77.0
2022-11-18,29.14,78.38
2022-11-21,28.84,78.81
2022-11-22,29.12,79.55
2022-11-23,29.25,80.43
2022-11-25,29.45,80.71
2022-11-28,29.25,80.8
2022-11-29,29.94,79.39
2022-11-30,30.52,79.88
2022-12-01,30.28,79.11
2022-12-02,30.61,80.5
2022-12-05,30.15,78.8
2022-12-06,29.23,77.85
2022-12-07,28.92,77.27
2022-12-08,29.26,76.82
2022-12-09,29.41,75.73
2022-12-12,29.66,75.41
2022-12-13,30.04,73.73
2022-12-14,29.77,73.69
2022-12-15,28.74,72.38
2022-12-16,28.68,73.78
2022-12-19,27.63,70.43
2022-12-20,28.1,70.7
2022-12-21,28.39,70.45
2022-12-22,28.54,71.24
2022-12-23,28.85,69.74
2022-12-27,28.66,69.14
2022-12-28,28.15,67.51
2022-12-29,28.58,68.52
2022-12-30,28.45,68.52
2023-01-03,28.34,68.58
2023-01-04,29.37,70.45
2023-01-05,28.95,72.04
2023-01-06,29.8,84.27
2023-01-09,29.4,87.82
2023-01-10,29.98,90.24
2023-01-11,30.09,89.5
2023-01-12,30.25,89.34
2023-01-13,30.31,89.4
2023-01-17,29.88,89.66
2023-01-18,29.52,88.84
2023-01-19,29.41,88.85
2023-01-20,29.71,88.69
2023-01-23,30.69,88.4
2023-01-24,30.63,87.12
2023-01-25,31.33,86.77
2023-01-26,31.72,85.79
2023-01-27,31.62,84.63
2023-01-30,31.41,84.95
2023-01-31,31.7,84.62
2023-02-01,32.01,86.2
2023-02-02,32.71,85.31
2023-02-03,32.3,89.72
2023-02-06,31.81,90.55
2023-02-07,31.8,90.42
2023-02-08,33.21,89.15
2023-02-09,33.21,88.5
2023-02-10,33.2,87.84
2023-02-13,33.08,87.49
2023-02-14,33.13,87.29
2023-02-15,34.36,87.41
2023-02-16,33.99,87.17
2023-02-17,34.22,87.98
2023-02-21,33.36,86.44
2023-02-22,33.68,85.07
2023-02-23,33.57,86.52
2023-02-24,33.06,85.79
2023-02-27,32.85,86.01
2023-02-28,32.25,84.0
2023-03-01,32.04,83.67
2023-03-02,32.3,83.55
2023-03-03,32.2,83.58
2023-03-06,32.07,81.79
2023-03-07,31.97,81.37
2023-03-08,31.84,81.66
2023-03-09,30.63,81.0
2023-03-10,30.51,81.15
2023-03-13,29.73,80.16
2023-03-14,30.19,81.76
2023-03-15,29.83,83.56
2023-03-16,30.22,84.35
2023-03-17,30.1,83.33
2023-03-20,30.7,84.79
2023-03-21,31.03,86.12
2023-03-22,30.57,84.18
2023-03-23,30.91,84.35
2023-03-24,30.38,84.95
2023-03-27,30.98,87.37
2023-03-28,30.13,87.98
2023-03-29,30.52,89.32
2023-03-30,30.89,90.6
2023-03-31,31.31,91.26
2023-04-03,31.37,89.3
2023-04-04,31.16,97.23
2023-04-05,31.02,98.88
2023-04-06,30.74,100.38
2023-04-10,31.19,102.81
2023-04-11,31.47,102.87
2023-04-12,31.01,102.78
2023-04-13,31.17,103.15
2023-04-14,30.75,104.69
2023-04-17,31.22,105.46
2023-04-18,31.2,105.65
2023-04-19,31.06,105.88
2023-04-20,30.89,106.2
2023-04-21,30.82,109.35
2023-04-24,29.91,109.17
2023-04-25,29.72,108.2
2023-04-26,29.73,105.94
2023-04-27,30.15,105.63
2023-04-28,30.54,107.17
2023-05-01,30.62,108.47
2023-05-02,30.33,105.72
2023-05-03,29.97,108.14
2023-05-04,28.63,105.44
2023-05-05,29.39,106.86
2023-05-08,29.56,106.34
2023-05-09,29.12,105.78
2023-05-10,28.64,105.05
2023-05-11,28.16,104.71
2023-05-12,28.27,105.17
2023-05-15,28.62,107.19
2023-05-16,28.21,108.84
2023-05-17,28.93,100.91
2023-05-18,28.7,103.99
2023-05-19,28.92,101.64
2023-05-22,28.96,101.94
2023-05-23,28.98,101.18
2023-05-24,28.65,102.13
2023-05-25,28.92,101.53
2023-05-26,29.25,100.1
